P22681	P46108	1	IL3	15	physical	CBL	CRK
P22681	P46109	1	IL3	15	physical	CBL	CRKL
P22681	P06241	1	IL3	15	physical	CBL	FYN
P22681	P62993	1	IL3	15	physical	CBL	GRB2
P22681	P08631	1	IL3	15	physical	CBL	HCK
P22681	P27986	1	IL3	15	physical	CBL	PIK3R1
P22681	O00459	1	IL3	15	physical	CBL	PIK3R2
Q9NSE2	P32927	1	IL3	15	physical	CISH	CSF2RB
P46108	P22681	1	IL3	15	physical	CRK	CBL
P46109	P22681	1	IL3	15	physical	CRKL	CBL
P46109	Q06124	1	IL3	15	physical	CRKL	PTPN11
P46109	Q13905	1	IL3	15	physical	CRKL	RAPGEF1
P46109	P29353	1	IL3	15	physical	CRKL	SHC1
P32927	Q9NSE2	1	IL3	15	physical	CSF2RB	CISH
P32927	P30273	1	IL3	15	physical	CSF2RB	FCER1G
P32927	P07332	1	IL3	15	physical	CSF2RB	FES
P32927	P06241	1	IL3	15	physical	CSF2RB	FYN
P32927	P63244	1	IL3	15	physical	CSF2RB	GNB2L1
P32927	P08631	1	IL3	15	physical	CSF2RB	HCK
P32927	P08700	1	IL3	15	physical	CSF2RB	IL3
P32927	P26951	1	IL3	15	physical	CSF2RB	IL3RA
P32927	P23458	1	IL3	15	physical	CSF2RB	JAK1
P32927	O60674	1	IL3	15	physical	CSF2RB	JAK2
P32927	P05771	1	IL3	15	physical	CSF2RB	PRKCB
P32927	P29353	1	IL3	15	physical	CSF2RB	SHC1
P32927	P43405	1	IL3	15	physical	CSF2RB	SYK
P32927	P63104	1	IL3	15	physical	CSF2RB	YWHAZ
Q05193	P27986	1	IL3	15	physical	DNM1	PIK3R1
P30273	P32927	1	IL3	15	physical	FCER1G	CSF2RB
P07332	P32927	1	IL3	15	physical	FES	CSF2RB
P06241	P22681	1	IL3	15	physical	FYN	CBL
P06241	P32927	1	IL3	15	physical	FYN	CSF2RB
Q13480	P27986	1	IL3	15	physical	GAB1	PIK3R1
Q13480	Q06124	1	IL3	15	physical	GAB1	PTPN11
Q9UQC2	P62993	1	IL3	15	physical	GAB2	GRB2
Q9UQC2	P27986	1	IL3	15	physical	GAB2	PIK3R1
Q9UQC2	Q08209	1	IL3	15	physical	GAB2	PPP3CA
Q9UQC2	P29353	1	IL3	15	physical	GAB2	SHC1
P63244	P32927	1	IL3	15	physical	GNB2L1	CSF2RB
P62993	P22681	1	IL3	15	physical	GRB2	CBL
P62993	Q9UQC2	1	IL3	15	physical	GRB2	GAB2
P62993	Q06124	1	IL3	15	physical	GRB2	PTPN11
P62993	P29353	1	IL3	15	physical	GRB2	SHC1
P62993	Q07889	1	IL3	15	physical	GRB2	SOS1
P62993	P15498	1	IL3	15	physical	GRB2	VAV1
P08631	P22681	1	IL3	15	physical	HCK	CBL
P08631	P32927	1	IL3	15	physical	HCK	CSF2RB
P01112	O00329	1	IL3	15	physical	HRAS	PIK3CD
P08700	P32927	1	IL3	15	physical	IL3	CSF2RB
P08700	P26951	1	IL3	15	physical	IL3	IL3RA
P26951	P32927	1	IL3	15	physical	IL3RA	CSF2RB
P26951	P08700	1	IL3	15	physical	IL3RA	IL3
P26951	P23458	1	IL3	15	physical	IL3RA	JAK1
P26951	O60674	1	IL3	15	physical	IL3RA	JAK2
Q92835	Q06124	1	IL3	15	physical	INPP5D	PTPN11
Q92835	P29353	1	IL3	15	physical	INPP5D	SHC1
P23458	P32927	1	IL3	15	physical	JAK1	CSF2RB
P23458	P26951	1	IL3	15	physical	JAK1	IL3RA
O60674	P32927	1	IL3	15	physical	JAK2	CSF2RB
O60674	P26951	1	IL3	15	physical	JAK2	IL3RA
O60674	P67775	1	IL3	15	Phosphorylation	JAK2	PPP2CA
O60674	P67775	1	IL3	15	physical	JAK2	PPP2CA
O60674	P42229	1	IL3	15	Phosphorylation	JAK2	STAT5A
O60674	P51692	1	IL3	15	Phosphorylation	JAK2	STAT5B
O60674	P42680	1	IL3	15	physical	JAK2	TEC
O00329	P01112	1	IL3	15	physical	PIK3CD	HRAS
O00329	P27986	1	IL3	15	physical	PIK3CD	PIK3R1
O00329	O00459	1	IL3	15	physical	PIK3CD	PIK3R2
P27986	P22681	1	IL3	15	physical	PIK3R1	CBL
P27986	Q05193	1	IL3	15	physical	PIK3R1	DNM1
P27986	Q13480	1	IL3	15	physical	PIK3R1	GAB1
P27986	Q9UQC2	1	IL3	15	physical	PIK3R1	GAB2
P27986	O00329	1	IL3	15	physical	PIK3R1	PIK3CD
P27986	O00459	1	IL3	15	physical	PIK3R1	PIK3R2
P27986	Q06124	1	IL3	15	physical	PIK3R1	PTPN11
P27986	P42680	1	IL3	15	physical	PIK3R1	TEC
O00459	P22681	1	IL3	15	physical	PIK3R2	CBL
O00459	O00329	1	IL3	15	physical	PIK3R2	PIK3CD
O00459	P27986	1	IL3	15	physical	PIK3R2	PIK3R1
